@RELATION 'church0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,11/02/03/04/01@11/02/03/04/03@16/03/01
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,10/03/01/01/09@10/03/04/03
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,43/01/03/05
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,01/04@10/03/01@14/07/03
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,11/02/03/01@11/02/03/04
C,20,0.4,0.1,0.3,0.3,0,0,0,0.24,0.13,0,0,0.57,0,0,0.17,0,0,1,1,1,1,5,5,5,1,01/04@10/03/02@11/02/03/04@14/07/03@14/13@18/02/01@32/01@43/01/03/09
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,14/01@14/07/11@14/13/01@43/01/03/09
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,14/07/11/01@14/13/04
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,20/03@20/09/04
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,01/01/05/01/02@01/05@01/20/17/01@02/16@02/45
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,01/04@11/04/03/03
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,11/02/03/01@11/02/03/04
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,20/09/07/27@40/01@42/04@43/01/03/05
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,12/01/01@42/16
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,14/04@20/09/07/05@20/09/07/27
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,10/03/01@18/02/01
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,10/01/05/01@10/03/01/03@32/01/09
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,14/01@14/04@14/07/02/02@16/01@32/01/07
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,20/09/07/03
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,14/07/05@14/13/01
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,10/03/01/01/01@11/02/03/01/01@11/02/03/04
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/04@20/09/07@20/09/13@20/09/16/09/03@42/25
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,34/11/03/07
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/09/05@10/03/01@16/01@32/01@40/01@40/20@42/04@43/01/03/05
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,20/01/27@32/07
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.37,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@02/13@12/07
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/03@10/01/05/01@10/01/09/05@10/03/01/03@16/03/03@32/01/09@42/10/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/01/01/11@20/09/14@42/04
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/05@42/01
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,42/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/06/02/01@10/03/01@10/03/02@11/02/03/04@43/01/03/09
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@12/04/02@16/19/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@10/03/03@14/07/03@14/10@20/09/18/09/01@42/04/03@43/01/03/05
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,16/17/01@20/03@20/09/04
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@01/06@20/09/18/09/01@30/01/09/11@42/01
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,16/03/03@40/01/05@43/01/03/05
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@10/01/05/01@10/01/05/03/01@10/01/05/03/03@10/03/02/01@16/01@16/03/01@16/19/03@32/01/09@42/10/03
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@01/06@10/03/03@20/09/07/06@30/01/09/11@43/01/03/09
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,18/02/03@20/09/07@20/09/16/09/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/02@10/01/05@10/03/01/03
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/03/05@10/03/01/01/09@16/03/01
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@20/09/16@34/11/03/07@40/01@41/01/01
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/05@14/07/02/01
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,20/01/01/01/01/01@34/01/01/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/13
D,20,0.1,0.1,0,0.1,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,20/01/03/01@20/09/18
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.37,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/05
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/04@20/09/07/27@20/09/13@20/09/18@42/25
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,40/10@40/20@42/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/02/03/01@11/02/03/04
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/05/01@10/03/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/01@14/07/04@42/04
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/02@16/07@43/01/03/09
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/03@16/19/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/02/01@16/03/01
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@10/03/01@14/07/03@40/01/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/03/16/01@10/01/02@10/01/03/05@10/03/01/01/09@10/03/04/03@11/04/01@11/04/02@16/03/01
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/07
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,20/01/01/01/01@34/01/01/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,20/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/03@10/01/05/01@10/03/02@43/01/03/09
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@16/19/03@20/01/13@20/03/25
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/01/03
D,20,0.1,0.1,0,0.1,0,0,0,0.07,0.38,0,0,0.11,0,0,0.33,0,0,1,1,1,1,5,5,5,1,10/03/01@11/02/03/01@11/02/03/04@32/01/03@32/05/01/03@34/11/03/13
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,42/01@43/01/03/05
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/04/03/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/02/03/01@11/02/03/04@20/01/27
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@01/06/02/02@30/01/09/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/01@10/03/02@10/03/04/05@10/03/05/01
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/06/02
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/06/02/01@10/03/02@43/01/03/09
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/03/05
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/07/05@14/10@14/13/01/01@16/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/01/01/09@10/03/03@11/02/03/01@11/02/03/04/01
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/02@10/03/01/01/09@10/03/04/03@10/03/04/05
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/05/25@10/01/09/05@11/02/03/04@34/11/03/07
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,12/10
D,20,0.1,0.1,0,0.1,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/04/01@16/03/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/04@20/09/07@20/09/13@42/01@42/25
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/07/05@14/13/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@14/13/01@16/19/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@11/02/03/04@16/19/03
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/04@14/07/11/01@14/13@20/09/07@20/09/13
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/05/01@42/04/05
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.35,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/02/03/04@34/11/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@10/03/01@14/07/03@30/01/05/01/03@32/01@40/01/03@42/01@43/01/03/05
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/01/01/11@10/03/04/09@20/09/14@42/04/05
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/05/25@30/01/05/05/01@34/11/03/07@40/01/03@42/04/03@43/01/03/05
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,20/01/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,12/01/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/05/01@10/03/01/03@10/03/02@32/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@10/03/01/01@10/03/04/01@10/03/04/05@14/07/03
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/04/03/01@14/10
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.36,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/03@16/01@32/01/03@40/01@42/04/03@43/01/03/05
D,20,0.1,0.1,0.1,0.1,0,0,0,0.08,0.33,0,0,0.11,0,0,0.33,0,0,1,1,1,1,5,5,5,1,14/04@16/01@20/01/10
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/05/25@11/02/03/04/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/01@10/03/03@10/03/04/09
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/03/04/05@16/01
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/04@14/07/03@30/01/05/01/03@43/01/03/09
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,18/02/03@20/09/07@20/09/16
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/07/11@14/13/01@16/17@41/01/01@43/01/03/05
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,02/45/11@10/03/01/01/11@10/03/02@10/03/04/07@14/10@20/09/14@32/01@34/11/03/07@41/01/01@42/10
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/01/03/05@10/01/05/01
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/07/07@14/13/01@18/02/01/01
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/02/01@11/02/02@11/02/03/01
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,01/03/16/01@12/07@32
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/02/01@11/02/02@16/03/01
D,20,0.1,0.1,0,0.1,0,0,0,0.07,0.38,0,0,0.11,0,0,0.31,0,0,1,1,1,1,5,5,5,1,11/02/03/04
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,32/05/01/03/03@32/07/03
